zotero_key,identity,title
3XNN8FDC,doi:10.1038/s41586-021-03258-z,De novo design of modular and tunable protein biosensors
5YMNQYLP,doi:10.1038/s41586-025-09746-w,Computational design of metallohydrolases
6AMWYASG,doi:10.1126/science.add1964,Hallucinating symmetric protein assemblies
7A5LLYTB,doi:10.1038/s41467-024-50919-4,De novo design of miniprotein antagonists of cytokine storm inducers.
7NMRP9NV,doi:10.1073/pnas.2207974120,De novo design of small beta barrel proteins
7ZWIR5Q2,doi:10.1021/jacs.3c02742,Design of Heme Enzymes with a Tunable Substrate Binding Pocket Adjacent to an Open Metal Coordination Site
97UCM36D,doi:10.1002/prot.25390,Protein structure prediction using Rosetta in CASP12
9KM5L4RJ,doi:10.1021/acschembio.3c00113,Macrocyclic Octapeptide Binding and Inferences on Protein Substrate Binding to Histone Deacetylase 6.
9W6B3G5T,doi:10.1111/febs.14394,Structures and disulfide cross-linking of de novo designed therapeutic mini-proteins
A69BGAHS,doi:10.1002/pro.4780,Zero-shot mutation effect prediction on protein stability and function using RoseTTAFold
AI9C84WR,doi:10.1038/s42003-025-09499-2,The computationally designed TRI2-2 miniprotein inhibitor protects against multiple SARS-CoV-2 Omicron variants.
B38LDPL2,doi:10.1038/s41586-024-07813-2,De novo design of allosterically switchable protein assemblies.
BASTEFDC,doi:10.1126/science.adu2454,Computational design of serine hydrolases
BI577JB6,doi:10.1101/2024.06.15.590358,De novo design of alpha-beta repeat proteins.
BPJXRINT,doi:10.1126/science.aba6527,Designed protein logic to target cells with precise combinations of surface antigens
C2CJBNHP,doi:10.1126/science.aay2790,De novo design of protein logic gates
CAEGGAME,doi:10.1073/pnas.2425459122,Parametrically guided design of beta barrels and transmembrane nanopores using deep learning
CVJHB55E,doi:10.1021/acs.jmedchem.4c01542,Discovery of a Novel Selective and Cell-Active N6-Methyladenosine RNA Demethylase ALKBH5 Inhibitor.
DDPPDQ4W,doi:10.1073/pnas.2008535117,Tight and specific lanthanide binding in a de novo TIM barrel with a large internal cavity designed by symmetric domain fusion
DKY2IC9H,doi:10.1101/2020.07.18.206946,De novo design of modular and tunable allosteric biosensors.
DYGMNPTT,doi:10.1038/s41587-024-02395-w,Multistate and functional protein design using RoseTTAFold sequence space diffusion.
DZVSTT3I,doi:10.1038/s41586-018-0509-0,De novo design of a fluorescence-activating β-barrel
EZFM4RCV,doi:10.1101/2024.09.20.613980,Nucleation limited assembly and polarized growth of a de novo-designed allosterically modulatable protein filament.
F43H8X24,doi:10.1126/science.abd9909,De novo design of picomolar SARS-CoV-2 miniprotein inhibitors
F87YI6DZ,doi:10.1073/pnas.2427161122,Modeling protein-small molecule conformational ensembles with PLACER
FI8D9MKS,doi:10.1126/science.aaq1739,Accurate computational design of multipass transmembrane proteins
FKATXICR,doi:10.1038/s41587-024-02456-0,Publisher Correction: Multistate and functional protein design using RoseTTAFold sequence space diffusion.
FLLT82BS,doi:10.1073/pnas.1908768117,Modular repeat protein sculpting using rigid helical junctions
FTZURN9B,doi:10.1126/sciadv.ado3501,"Delocalized quinolinium-macrocyclic peptides, an atypical chemotype for CNS penetration."
G2JHB235,doi:10.1021/jacs.5c05004,De Novo Design of High-Performance Cortisol Luminescent Biosensors.
G3ZPIC86,doi:10.1038/s41587-022-01280-8,Thermodynamically coupled biosensors for detecting neutralizing antibodies against SARS-CoV-2 variants
HEM5K5CG,doi:10.1038/s41594-025-01669-4,Computational design of sequence-specific DNA-binding proteins
HHFRPJZX,doi:10.1101/2025.03.23.644666,De novo design of miniprotein agonists and antagonists targeting G protein-coupled receptors.
HKI6AZTW,doi:10.1038/s41467-021-21511-x,Improved protein structure refinement guided by deep learning based accuracy estimation
HQGZPJ24,doi:10.1073/pnas.2509329122,De novo design of potent inhibitors of clostridial family toxins
I4NWEQIB,doi:10.1038/s41589-024-01632-2,De novo design of buttressed loops for sculpting protein functions.
I4TMWKAY,doi:10.1101/cshperspect.a041472,Protein Design Using Structure-Prediction Networks: AlphaFold and RoseTTAFold as Protein Structure Foundation Models.
I5Y8PLCF,doi:10.1021/acs.jmedchem.5c03115,A Bispecific Peptide-Drug Conjugate Targeting LAG-3 and PD-L1 Harnesses Antitumor Immunity of Macrophages and T Cells.
IM8ZGH2J,doi:10.1002/pro.3974,Computational design of mixed chirality peptide macrocycles with internal symmetry
ISK2ADZE,doi:10.1038/s41467-026-71345-8,De novo design of a macrocycle-induced dimerization system for cellular control.
IWL6JF53,doi:10.1038/s41929-025-01436-0,De novo design and evolution of an artificial metathase for cytoplasmic olefin metathesis.
J2UV4MKH,doi:10.1126/science.aaw6718,Protein interaction networks revealed by proteome coevolution
J3JZ9BT9,doi:10.1002/adma.202500872,De Novo Design of Integrin α5β1 Modulating Proteins to Enhance Biomaterial Properties
J7NRA6P4,doi:10.1101/2021.03.01.433110,Ultrapotent miniproteins targeting the receptor-binding domain protect against SARS-CoV-2 infection and disease in mice.
J82ZJLJX,doi:10.1021/acscatal.1c01097,Isolating Conformers to Assess Dynamics of Peptidic Catalysts Using Computationally Designed Macrocyclic Peptides.
J9K6MA2K,doi:10.1038/s41586-019-1274-4,De novo protein design by citizen scientists
JJCQ4BNT,doi:10.1126/sciimmunol.adx1582,Design of a potent interleukin-21 mimic for cancer immunotherapy
JREM7982,doi:10.1093/protein/gzy031,Unintended specificity of an engineered ligand-binding protein facilitated by unpredicted plasticity of the protein fold
JVVPFZRS,doi:10.1038/s41594-023-01112-6,Hallucination of closed repeat proteins containing central pockets
